iter	Passed	Remaining
0	0	407
1	0	404
2	1	364
3	1	365
4	1	370
5	2	346
6	2	342
7	3	396
8	3	375
9	3	383
10	4	370
11	4	360
12	4	362
13	5	362
14	5	364
15	5	365
16	6	363
17	6	371
18	7	369
19	7	369
20	7	366
21	8	364
22	8	360
23	8	360
24	8	359
25	9	356
26	9	360
27	10	366
28	10	365
29	10	361
30	11	358
31	11	356
32	11	353
33	11	350
34	12	350
35	12	347
36	12	343
37	13	340
38	13	338
39	13	336
40	13	331
41	14	330
42	14	329
43	14	327
44	15	326
45	15	321
46	15	319
47	15	319
48	16	318
49	16	316
50	16	316
51	16	314
52	17	314
53	17	313
54	17	312
55	18	311
56	18	312
57	18	311
58	19	311
59	19	309
60	19	308
61	19	307
62	20	305
63	20	305
64	20	304
65	21	302
66	21	300
67	21	299
68	21	298
69	22	297
70	22	297
71	22	296
72	22	295
73	23	295
74	23	294
75	23	293
76	24	293
77	24	292
78	24	292
79	25	293
80	25	292
81	25	291
82	25	290
83	26	290
84	26	289
85	26	288
86	27	288
87	27	286
88	27	286
89	28	286
90	28	286
91	28	286
92	28	285
93	29	285
94	29	284
95	29	283
96	29	281
97	30	281
98	30	281
99	30	280
100	31	280
101	31	281
102	31	281
103	32	280
104	32	280
105	32	279
106	33	279
107	33	279
108	33	278
109	34	279
110	34	279
111	34	279
112	35	278
113	35	277
114	35	277
115	36	277
116	36	277
117	36	277
118	37	281
119	38	281
120	38	281
121	38	281
122	39	281
123	39	280
124	39	280
125	40	280
126	40	279
127	40	279
128	41	279
129	41	278
130	41	279
131	42	283
132	43	282
133	43	282
134	43	282
135	44	281
136	44	281
137	44	280
138	44	279
139	45	279
140	45	279
141	45	278
142	46	277
143	46	277
144	46	277
145	46	276
146	47	275
147	47	275
148	47	274
149	47	272
150	48	272
151	48	271
152	48	271
153	49	272
154	49	271
155	50	274
156	50	274
157	51	273
158	51	272
159	51	272
160	51	271
161	52	271
162	52	270
163	52	270
164	52	269
165	53	269
166	53	268
167	53	267
168	54	267
169	54	266
170	54	265
171	54	265
172	55	265
173	55	265
174	55	264
175	56	264
176	56	264
177	56	263
178	57	263
179	57	262
180	58	264
181	58	264
182	58	264
183	59	263
184	59	263
185	59	263
186	60	262
187	60	262
188	60	261
189	61	264
190	61	263
191	62	263
192	62	262
193	62	262
194	63	261
195	63	261
196	63	260
197	63	260
198	64	260
199	64	259
200	65	259
201	65	259
202	65	259
203	66	259
204	66	258
205	66	257
206	66	257
207	67	257
208	67	256
209	67	256
210	68	255
211	68	255
212	68	255
213	69	255
214	69	254
215	69	253
216	69	253
217	70	253
218	70	252
219	70	252
220	71	251
221	71	251
222	71	251
223	72	251
224	72	250
225	72	250
226	73	249
227	73	249
228	73	248
229	73	248
230	74	247
231	74	247
232	74	246
233	74	246
234	75	245
235	75	245
236	75	245
237	76	244
238	76	243
239	76	243
240	76	242
241	77	242
242	77	241
243	77	241
244	77	240
245	78	240
246	78	240
247	78	240
248	79	239
249	80	241
250	80	241
251	81	241
252	81	241
253	81	241
254	82	241
255	82	240
256	82	240
257	83	240
258	83	240
259	83	239
260	84	239
261	84	238
262	84	238
263	85	238
264	85	237
265	85	237
266	86	237
267	86	237
268	86	236
269	86	236
270	87	235
271	87	235
272	88	235
273	88	235
274	88	234
275	89	234
276	89	234
277	89	233
278	89	233
279	90	233
280	90	232
281	91	232
282	91	232
283	91	231
284	91	231
285	92	230
286	93	232
287	93	231
288	93	231
289	94	231
290	94	230
291	94	230
292	94	229
293	96	231
294	96	231
295	96	230
296	96	230
297	97	229
298	97	229
299	97	229
300	98	228
301	98	228
302	98	228
303	99	228
304	99	227
305	100	227
306	100	227
307	100	226
308	100	226
309	101	225
310	101	225
311	101	224
312	101	224
313	102	223
314	102	223
315	102	222
316	103	222
317	103	222
318	103	221
319	103	221
320	104	221
321	104	220
322	104	220
323	105	220
324	105	219
325	105	219
326	105	218
327	106	218
328	106	218
329	106	217
330	107	217
331	107	217
332	107	216
333	108	216
334	108	216
335	108	215
336	109	215
337	109	214
338	109	214
339	110	214
340	110	213
341	110	213
342	110	213
343	111	212
344	111	212
345	111	211
346	112	211
347	112	210
348	112	210
349	112	210
350	113	209
351	114	210
352	114	210
353	114	210
354	115	209
355	115	209
356	115	209
357	116	208
358	116	208
359	116	207
360	116	207
361	117	207
362	117	206
363	117	206
364	118	205
365	118	205
366	118	205
367	119	205
368	119	204
369	119	204
370	119	203
371	120	203
372	120	203
373	120	202
374	121	202
375	121	201
376	121	201
377	121	201
378	122	200
379	122	200
380	122	200
381	123	199
382	123	199
383	123	199
384	124	198
385	124	198
386	124	197
387	124	197
388	125	197
389	125	196
390	125	196
391	126	196
392	126	195
393	126	195
394	126	194
395	127	194
396	127	194
397	127	193
398	128	193
399	128	193
400	128	192
401	128	192
402	129	191
403	129	191
404	129	191
405	130	190
406	130	190
407	130	190
408	130	189
409	131	189
410	131	188
411	132	189
